title,description,image
Fortune Telling,"Are you trying to predict the future, and assuming it will be negative?",https://cdn.pixabay.com/photo/2020/04/29/02/46/fortuneteller-5106947_1280.jpg
Over-Estimating Danger,Do you feel like something terrible is about to occur?,https://cdn.pixabay.com/photo/2015/03/01/20/26/warning-sign-655244_1280.jpg
Catastrophising,"Are you imagining the worst situation possible, and that you will be unable to cope?",https://cdn.pixabay.com/photo/2014/07/23/02/41/lightning-399853_1280.jpg
Mind Reading,"Are you assuming that you know exactly what someone is thinking, and that it is negative?",https://images.unsplash.com/photo-1502919280275-1bed9aca68ab?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
Black and White Thinking,"Are you thinking in extremes about the situation? Maybe it seems really good or really bad, but in reality it will be somewhere in between",https://images.unsplash.com/photo-1533412717210-fb283e0943f7?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
Over-Generalising,"Are you making sweeping judgements about things, based on a past experience? (For example, using words like 'always' or 'never')",https://images.unsplash.com/photo-1543286386-713bdd548da4?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
Negative Brain Filter,"Are you only paying attention to the bad things that are happening, and ignoring the good things?",https://cdn.pixabay.com/photo/2019/08/06/22/48/artificial-intelligence-4389372_1280.jpg
"""Should"" Statements","Are you telling yourself how you ""should"" feel in behave, instead of listening & watching to how you actually feel and behave?",https://cdn.pixabay.com/photo/2018/09/24/17/12/board-3700375_1280.jpg
Emotional Reasoning,"Are you believing something to be true based on feelings, rather than facts?",https://images.unsplash.com/photo-1612878010854-1250dfc5000a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
Unsure,None of these seem to apply,https://cdn.pixabay.com/photo/2014/09/27/13/46/question-mark-463497_1280.jpg
